fr_school_id	org_key	slug	url
al-seale-russell-county	95	russell-county-seale-al	https://www.on3.com/high-school/russell-county-seale-al-95/football/schedule/
ar-little-rock-joe-t-robinson	21095	joe-t-robinson-little-rock-ar	https://www.on3.com/high-school/joe-t-robinson-little-rock-ar-21095/football/schedule/
az-gilbert-american-leadership-academy-gilbert-north	3358	american-leadership-academy-gilbert-north-gilbert-az	https://www.on3.com/high-school/american-leadership-academy-gilbert-north-gilbert-az-3358/football/schedule/
az-glendale-sandra-day-oconnor	5133	sandra-day-oconnor-glendale-az	https://www.on3.com/high-school/sandra-day-oconnor-glendale-az-5133/football/schedule/
ca-bakersfield-liberty	8097	liberty-bakersfield-ca	https://www.on3.com/high-school/liberty-bakersfield-ca-8097/football/schedule/
ca-mountain-view-saint-francis	2798	st-francis-mountain-view-ca	https://www.on3.com/high-school/st-francis-mountain-view-ca-2798/football/schedule/
co-aurora-regis-jesuit	5091	regis-jesuit-aurora-co	https://www.on3.com/high-school/regis-jesuit-aurora-co-5091/football/schedule/
co-boulder-fairview	5096	fairview-boulder-co	https://www.on3.com/high-school/fairview-boulder-co-5096/football/schedule/
fl-fort-lauderdale-american-heritage	3467	american-heritage-plantation-fl	https://www.on3.com/high-school/american-heritage-plantation-fl-3467/football/schedule/
fl-miami-miami-southridge	10589	miami-southridge-miami-fl	https://www.on3.com/high-school/miami-southridge-miami-fl-10589/football/schedule/
fl-pompano-beach-monarch	10582	monarch-coconut-creek-fl	https://www.on3.com/high-school/monarch-coconut-creek-fl-10582/football/schedule/
fl-winter-garden-west-orange	24922	west-orange-winter-garden-fl	https://www.on3.com/high-school/west-orange-winter-garden-fl-24922/football/schedule/
ga-atlanta-holy-innocents-episcopal-school	23304	holy-innocents-episcopal-school-atlanta-ga	https://www.on3.com/high-school/holy-innocents-episcopal-school-atlanta-ga-23304/football/schedule/
ga-carrollton-central	16160	central-carrollton-ga	https://www.on3.com/high-school/central-carrollton-ga-16160/football/schedule/
ga-kennesaw-north-cobb	14398	north-cobb-kennesaw-ga	https://www.on3.com/high-school/north-cobb-kennesaw-ga-14398/football/schedule/
ga-marietta-marietta	17929	marietta-marietta-ga	https://www.on3.com/high-school/marietta-marietta-ga-17929/football/schedule/
ga-powder-springs-hillgrove	105	hillgrove-powder-springs-ga	https://www.on3.com/high-school/hillgrove-powder-springs-ga-105/football/schedule/
ga-savannah-benedictine-military-school	23323	benedictine-military-school-savannah-ga	https://www.on3.com/high-school/benedictine-military-school-savannah-ga-23323/football/schedule/
ga-sylvester-worth-county	9119	worth-county-sylvester-ga	https://www.on3.com/high-school/worth-county-sylvester-ga-9119/football/schedule/
ga-warner-robins-warner-robins	5521	warner-robins-warner-robins-ga	https://www.on3.com/high-school/warner-robins-warner-robins-ga-5521/football/schedule/
hi-ewa-beach-james-campbell	23002	james-campbell-ewa-beach-hi	https://www.on3.com/high-school/james-campbell-ewa-beach-hi-23002/football/schedule/
ia-west-des-moines-dowling-catholic	11820	dowling-catholic-west-des-moines-ia	https://www.on3.com/high-school/dowling-catholic-west-des-moines-ia-11820/football/schedule/
id-meridian-rocky-mountain	9468	rocky-mountain-meridian-id	https://www.on3.com/high-school/rocky-mountain-meridian-id-9468/football/schedule/
il-arlington-heights-john-hersey	28066	hershey-huskies-arlington-heights-il	https://www.on3.com/high-school/hershey-huskies-arlington-heights-il-28066/football/schedule/
il-chicago-saint-rita-of-cascia	23906	st-rita-chicago-il	https://www.on3.com/high-school/st-rita-chicago-il-23906/football/schedule/
il-elmhurst-immaculate-conception	9659	immaculate-conception-elmhurst-il	https://www.on3.com/high-school/immaculate-conception-elmhurst-il-9659/football/schedule/
il-new-lenox-providence-catholic	2481	providence-catholic-new-lenox-il	https://www.on3.com/high-school/providence-catholic-new-lenox-il-2481/football/schedule/
il-orland-park-carl-sandburg	704	carl-sandburg-orland-park-il	https://www.on3.com/high-school/carl-sandburg-orland-park-il-704/football/schedule/
in-greenwood-center-grove	21251	center-grove-greenwood-in	https://www.on3.com/high-school/center-grove-greenwood-in-21251/football/schedule/
ks-mission-bishop-miege	11130	bishop-miege-mission-ks	https://www.on3.com/high-school/bishop-miege-mission-ks-11130/football/schedule/
ks-overland-park-blue-valley-northwest	12908	blue-valley-northwest-overland-park-ks	https://www.on3.com/high-school/blue-valley-northwest-overland-park-ks-12908/football/schedule/
ky-louisville-christian-academy-of-louisville	4864	christian-academy-centurions-louisville-ky	https://www.on3.com/high-school/christian-academy-centurions-louisville-ky-4864/football/schedule/
la-covington-saint-pauls	21583	st-pauls-school-covington-la	https://www.on3.com/high-school/st-pauls-school-covington-la-21583/football/schedule/
la-new-orleans-john-curtis	19791	john-curtis-new-orleans-la	https://www.on3.com/high-school/john-curtis-new-orleans-la-19791/football/schedule/
ma-danvers-saint-johns-prep	4355	st-johns-prep-eagles-danvers-ma	https://www.on3.com/high-school/st-johns-prep-eagles-danvers-ma-4355/football/schedule/
md-baltimore-mount-saint-joseph	2257	mount-saint-joseph-baltimore-md	https://www.on3.com/high-school/mount-saint-joseph-baltimore-md-2257/football/schedule/
md-towson-calvert-hall-college	16497	calvert-hall-college-towson-md	https://www.on3.com/high-school/calvert-hall-college-towson-md-16497/football/schedule/
mi-bloomfield-hills-brother-rice	20865	brother-rice-bloomfield-hills-mi	https://www.on3.com/high-school/brother-rice-bloomfield-hills-mi-20865/football/schedule/
mi-detroit-martin-luther-king	24393	martin-luther-king-crusaders-detroit-mi	https://www.on3.com/high-school/martin-luther-king-crusaders-detroit-mi-24393/football/schedule/
mi-novi-detroit-catholic-central	1207	detroit-catholic-central-novi-mi	https://www.on3.com/high-school/detroit-catholic-central-novi-mi-1207/football/schedule/
mi-portage-portage-central	6590	portage-central-portage-mi	https://www.on3.com/high-school/portage-central-portage-mi-6590/football/schedule/
mi-warren-de-la-salle-collegiate	1190	de-la-salle-collegiate-warren-mi	https://www.on3.com/high-school/de-la-salle-collegiate-warren-mi-1190/football/schedule/
mo-kansas-city-rockhurst	10355	rockhurst-kansas-city-mo	https://www.on3.com/high-school/rockhurst-kansas-city-mo-10355/football/schedule/
mo-saint-louis-christian-brothers-college	5028	christian-brothers-college-saint-louis-mo	https://www.on3.com/high-school/christian-brothers-college-saint-louis-mo-5028/football/schedule/
mo-saint-louis-de-smet-jesuit	12168	desmet-saint-louis-mo	https://www.on3.com/high-school/desmet-saint-louis-mo-12168/football/schedule/
ms-hattiesburg-hattiesburg	5586	hattiesburg-hattiesburg-ms	https://www.on3.com/high-school/hattiesburg-hattiesburg-ms-5586/football/schedule/
ms-macon-noxubee-county	23380	noxubee-county-macon-ms	https://www.on3.com/high-school/noxubee-county-macon-ms-23380/football/schedule/
ms-madison-madison-central	10905	madison-central-madison-ms	https://www.on3.com/high-school/madison-central-madison-ms-10905/football/schedule/
nc-charlotte-mallard-creek	16543	mallard-creek-charlotte-nc	https://www.on3.com/high-school/mallard-creek-charlotte-nc-16543/football/schedule/
