fr_school_id	maxpreps_url	school_id	method	games_count
dc-washington-archbishop-carroll	https://www.maxpreps.com/dc/washington/archbishop-carroll-lions/football/schedule/	38dcb8ed-66d5-41ba-b062-ff5f77eba32e	search	15
ca-turlock-turlock	https://www.maxpreps.com/ca/turlock/turlock-bulldogs/football/schedule/	162e8695-ff35-4f1b-be65-04b6b50e1139	crosswalk	14
al-scottsboro-scottsboro	https://www.maxpreps.com/al/scottsboro/scottsboro-wildcats/football/schedule/	1e4ba09c-4623-4c6d-ad61-c72093359d97	crosswalk	13
ga-conyers-heritage	https://www.maxpreps.com/ga/conyers/heritage-patriots/football/schedule/	74e20964-a2d5-446f-a60b-addd44f58119	crosswalk	13
in-hammond-morton	https://www.maxpreps.com/in/hammond/hammond-morton-governors/football/schedule/	23b7978d-f85e-45a2-96a4-ce2206da7b5b	search	13
mn-minneapolis-camden	https://www.maxpreps.com/mn/minneapolis/camden-patriots/football/schedule/	81e1a18c-8a00-4115-b86f-da3f338cbf52	crosswalk	13
pa-haverford-haverford-school	https://www.maxpreps.com/pa/haverford/haverford-school-fords/football/schedule/	620c0f14-43c5-4a69-9e32-ee8fb8b810e2	player-name	13
al-hoover-spain-park	https://www.maxpreps.com/al/hoover/spain-park-jaguars/football/schedule/	7425f644-63c3-4f07-9766-b2a1b26fc12a	search	12
ar-dumas-dumas	https://www.maxpreps.com/ar/dumas/dumas-bobcats/football/schedule/	8ea3f224-b9a9-428a-a150-93f5a69d4fe8	search	12
ar-fayetteville-fayetteville	https://www.maxpreps.com/ar/fayetteville/fayetteville-purple-bulldogs/football/schedule/	136c5ec1-2298-46b9-94bf-56f6a566ef57	crosswalk	12
ar-greenwood-greenwood	https://www.maxpreps.com/ar/greenwood/greenwood-bulldogs/football/schedule/	48fe03f8-71b5-4ade-849a-fb954175c89c	search	12
ca-fresno-clovis-west	https://www.maxpreps.com/ca/fresno/clovis-west-golden-eagles/football/schedule/	55a9d5be-3ec6-4ef2-9fe2-cbfbfc16e432	search	12
ca-simi-valley-simi-valley	https://www.maxpreps.com/ca/simi-valley/simi-valley-pioneers/football/schedule/	af1af47a-8db3-4d2d-aa27-bdd5371c0418	search	12
fl-auburndale-auburndale	https://www.maxpreps.com/fl/auburndale/auburndale-bloodhounds/football/schedule/	73ba77ad-e2e8-46ac-941b-c014b30d39cc	search	12
fl-miami-carol-city	https://www.maxpreps.com/fl/miami/carol-city-chiefs/football/schedule/	f051aa65-cc12-479d-9b7c-8ee8eadd1405	search	12
fl-venice-venice	https://www.maxpreps.com/fl/venice/venice-indians/football/schedule/	1d6e9c6d-44a0-4e67-932e-789d27de9a90	crosswalk	12
ia-waverly-waverly-shell-rock	https://www.maxpreps.com/ia/waverly/waverly-shell-rock-go-hawks/football/schedule/	50b81096-196a-43cc-9387-9ad74936cdde	search	12
